nds,de,title
Dat köst di teihndusend Yen.,Das kostet dich zehntausend Yen.,
Verlaat di nich op annere.,Verlass dich nicht auf andere.,
Wat warrn dien Fru denken?,Was wird deine Frau denken?,
Ik kann en beten Ainu.,Ich kann ein bisschen Ainu.,
Se het ehr Klass goods ünner Kuntroll.,Sie hat ihre Klasse gut unter Kontrolle.,
Wo warrn Botter ut maakt?,Woraus wird Butter gemacht?,
Ik bruuk Feerne!,Ich brauche Urlaub!,
Een Spraak is nie noog.,Eine Sprache ist nie genug.,
"Lat uns so doot, as wenn wi Buteneerdsche sünd.","Lasst uns so tun, als wären wir Außerirdische.",
Tom will nich mit jo snacken.,Tom will nicht mit euch reden.,
He güng stahn.,Er erhob sich.,
Schall datt ne Jux wäsen?,Soll das ein Scherz sein?,
"’Keen is stärker, Tieger oder Lööw?","Wer ist stärker, Tiger oder Löwe?",
De Slips passt good to dien Hemd.,Die Krawatte passt gut zu deinem Hemd.,
Se hett em an ’n Strand drapen.,Sie hat ihn am Strand getroffen.,
Se hett em an ’n Strand drapen.,Sie traf ihn am Strand.,
He harrn bi de Arbeid en Unfall.,Er hatte einen Arbeitsunfall.,
Büst du alleen?,Bist du alleine?,
Snackst du mit mi?,Redest du mit mir?,
Woveel Tassen Tee drinken ji an’n Dag?,Wie viele Tassen Tee trinken Sie am Tag?,
Woveel Tassen Tee drinken ji an’n Dag?,Wie viele Tassen Tee trinkt ihr am Tag?,
"Ik seed nix, un datt hätt em argern.","Ich sagte nichts, und das ärgerte ihn.",
Ik bün noch temlich mööd.,Ich bin noch sehr müde.,
"Ik denk nicht, datt Tom un Rias scheedt sünd.","Ich denke nicht, dass Tom und Maria geschieden sind.",
Wannehr hest du di mit em drapen?,Wann hast du dich mit ihm getroffen?,
Nüms bruukt klingoonsch pIqaD op Tatoeba.,Niemand braucht klingonisches pIqaD auf Tatoeba.,
"Slaap is de beste Medizin, wenn een sik verköhlt hett.",Schlaf ist die beste Medizin bei einer Erkältung.,
Mien Kiekschapp is in ’n Dutt.,Mein Fernseher ist kaputt.,
Mien Kiekschapp is in ’n Dutt.,Mein Fernseher ist hinüber.,
Wannehr maakt de Bäckeree dicht?,Um wie viel Uhr schließt die Bäckerei?,
Ik will Sex mit ehr hebben.,Ich will Sex mit ihr haben.,
Kees lett sick licht mit en Mest snieden.,Käse lässt sich leicht mit einem Messer schneiden.,
Ik bün nich plietscher as se.,Ich bin nicht intelligenter als er.,
Tom un ik hebbt us lange övers dit Thema ünnerholen.,Tom und ich haben uns lange über dieses Thema unterhalten.,
Hebbt ji joon Kamer oprüümt?,Habt ihr euer Zimmer aufgeräumt?,
Datt is dicht an söven. Wi mööt na School (gohn).,"Es ist schon fast sieben, wir müssen zur Schule gehen.",
Dat is dicht an söven. Wi mööt na School (gahn).,"Es ist schon fast sieben Uhr, wir müssen zur Schule gehen.",
Dat is dicht an söven. Wi mööt na School (gahn).,"Es ist schon fast sieben, wir müssen zur Schule.",
De Fleger is Klock söven loosflagen.,Das Flugzeug hob um sieben ab.,
In Chai-Tee is faken Kommuum in.,Chai-Tee enthält oft Kardamom.,
He keem ut Boston.,Er kam aus Boston.,
"Wenn ik en Bloodspenn von en Eddelmann krieg, warrn mien Blood denn vigelett?","Wenn ich eine Blutspende von einem Adligen bekomme, wird mein Blut dann lila?",
Ik heet Farshad.,Ich heiße Farshad.,
Godd schall mit uns wesen.,Gott sei mit uns.,
Wo schrifft man Ehr Achternaam?,Wie schreibt sich Ihr Nachname?,
Wo schrifft man Ehr Achternaam?,Wie schreibt man Ihren Nachnamen?,
Wo schrieft man Ehr Achternaams?,Wie wird Ihr Nachname geschrieben?,
Wo schrifft man Ehr Achternaam?,Wie schreibt sich Ihr Familienname?,
Wo schrieft man Ehr Achternaams?,Wie schreibt man Ihren Familiennamen?,
Wo schrifft man Ehr Achternaam?,Wie wird Ihr Familienname geschrieben?,
Se schullt beters keene Alkohool mihr drinkt.,Sie sollten besser keinen Alkohol mehr trinken.,
"Datt hört sick snaaksch an, man datt stimmt.","Es mag sich seltsam anhören, aber es stimmt.",
"Wat denkst du, ’keen du büst?","Was denkst du, wer du bist?",
Hebbt ji Fragen?,Habt ihr Fragen?,
Gest du den Hund fodert?,Hast du den Hund gefüttert?,
"Sütt na Regent ut, wi schullt beter de Ruten dichttomaken.","Es sieht nach Regen aus, wir sollten besser die Fenster schließen.",
Hess du düsse Noricht al hört?,Hast du diese Nachricht schon gehört?,
Borschtsch smeckt beters as datt klingt.,"Borschtsch schmeckt besser, als es klingt.",
He grabbel sik an ’n Kopp un deed en scheve Snuut treckt.,Er griff sich an den Kopf und zog eine schiefe Schnute.,
All bet op een weren dor.,Alle bis auf einen waren anwesend.,
Mark Zuckerberg hett mi mien Idee klaut!,Mark Zuckerberg hat mir meine Idee geklaut!,
Dor hört twe to.,Es gehören immer zwei dazu.,
En Boor geit bi en Doden ich bi.,Ein Bär berührt keinen Toten.,
Wo lang hest du in Sanda leevt?,Wie lange hast du in Sanda gelebt?,
Datt Baby wees de ganze Nacht still.,Das Baby war die ganze Nacht still.,
Schiet! Ik heff mi verdoon.,"Mist, ich habe mich vertan!",
Disse Kamer is nich so groot.,Dieses Zimmer ist nicht so groß.,
Düsse Komer is nech so groot.,Dieses Zimmer ist nicht sehr groß.,
"Ik heff vör, na ’n Putzbüdel to gahn.","Ich habe vor, zum Friseur zu gehen.",
"Dat is en grote Ehr, ehr kennentolehren.","Es ist eine große Ehre, sie kennenzulernen.",
Hier warrn nich smöökt.,Hier wird nicht geraucht.,
He het tein Keih.,Er besitzt zehn Kühe.,
Se deed luder warrn.,Sie erhob die Stimme.,
Lat uns en Münt smieten.,Lass uns eine Münze werfen.,
An uns School hebbt wi Uniformen an.,An unserer Schule tragen wir Uniformen.,
Wi gaht af un an tohoop angeln.,Wir gehen ab und zu zusammen angeln.,
Ik heff twe Daagbläder aboneert.,Ich habe zwei Zeitungen abonniert.,
Woveel köst en Baguette?,Wieviel kostet ein Baguette?,
Woveel köst en Baguette?,Was kostet ein Baguette?,
Dat schall di noch ees spieten.,Das wirst du noch bedauern.,
Düsse Hoot is di to groot.,Dieser Hut ist dir zu groß.,
Nachtens seht wi huer mihr Steerns as in Tokyo.,Nachts sehen wir hier mehr Sterne als in Tokio.,
Ries wasst in warmen Klimazonen.,Reis wächst in warmen Klimazonen.,
Pablo un Maria woren huer.,Pablo und Maria waren hier.,
Se gaht elk Dag na Arbeid.,Sie gehen jeden Tag zur Arbeit.,
Se hätt em en Klock schenken.,Sie schenkte ihm eine Uhr.,
Ik bün de Gröttst in uns Klass.,Ich bin die Größte in unserer Klasse.,
Ik bün de Gröttst in uns Klass.,Ich bin der Größte in meiner Klasse.,
"Use Maria is in n Kaustall, to n melken.","Unsere Maria ist im Kuhstall, um zu melken.",
"Tom is na Boston kamen, üm Kunst to studeren.","Tom ist nach Boston gekommen, um Kunst zu studieren.",
Ik ett lever Fisch as Fleesch.,Ich esse lieber Fisch als Fleisch.,
Datt kost twe Euro.,Das kostet zwei Euro.,
Woveel Spegelplaten gest du?,Wie viele CD's hast du?,
Woveel Spegelplaten hest du?,Wie viele Silberscheiben hast du?,
In Länner so as Noorwegen un Finnland hebbt se in ’n Winter en Hümpel Snee.,In Ländern wie Norwegen und Finnland haben sie im Winter einen Haufen Schnee.,
"Tom het nicht wüßt, woneem Rias wees.","Tom wusste nicht, wo Maria war.",
Ik heff mihr as een Maand in Nagoya levt.,Ich habe mehr als einen Monat lang in Nagoya gelebt.,
Se hett em von lütt op an kennt.,Sie hat ihn von kleinauf gekannt.,
Wi hebbt jümmer noch en Hümpel to doon.,Wir haben immer noch jede Menge zu tun.,
Egentlich harrn ik dat weten müsst.,Eigentlich hätte ich das wissen müssen.,
Nedderlandsch is naig vöwant an Düütsch.,Niederländisch ist eng verwandt mit Deutsch.,
Ik bün noch nie in Kuschiro wesen.,Ich bin noch nie in Kuschiro gewesen.,
Se harrn ans nix to drinkt.,Sie hatte sonst nichts zu Trinken.,
Du geihst mit uns.,Du gehst mit uns.,
"Ik fraag mi, ’keen de Scheer tohöört.","Ich frage mich, wem die Schere gehört.",
He besitt veele düre Schilleraats.,Er besitzt viele wertvolle Gemälde.,
Ik wull dit Paket na Japan henstüren.,Ich möchte dieses Paket nach Japan schicken.,
"Dean itt würklich veel, meenst du nich?","Dean isst wirklich viel, meinst du nicht auch?",
"Ik weet nich, wat ik dor noch to seggen schall.","Ich weiß nicht, was ich dazu noch sagen soll.",
De Sünn schient.,Die Sonne scheint.,
Mit ’keene wullt du snacken?,Wen willst du sprechen?,
He maakt ut en Mügg en Elefant.,Er macht aus einer Mücke einen Elefanten.,
Wat studeerst du?,Was studierst du?,
George is de Käpten von uns Mannschop.,George ist der Kapitän unserer Mannschaft.,
Woveel Geld hett Tom di geven?,Wie viel Geld hat Tom dir gegeben?,
Du musst mehr lehren.,Du musst mehr lernen.,
He hett en Appel tekent.,Er zeichnete einen Apfel.,
He is Romaanschriever un Dichter.,Er ist ein Schriftsteller und Dichter.,
Wat is dat för en Deert?,Was ist das für ein Tier?,
He liggt faken in ’t Bedd un leest.,Er liegt oft im Bett und liest.,
Tom hett twee Kinner.,Tom hat zwei Kinder.,
Ik bruuk Plaasters.,Ich brauche Pflaster.,
Dit Daagbladd hätt en hogen Oplaag.,Diese Zeitung hat eine hohe Auflage.,
He seet dor en Piep to smöken.,"Er saß da, um eine Pfeife zu rauchen.",
He wull di dräpen.,Er möchte dich treffen.,
He het uns Anbott aflehnt.,Er hat unser Angebot abgelehnt.,
Woneem is de Utgang?,Wo ist der Ausgang?,
He güng stiekum in ’n Goorn.,Er betrat den Garten heimlich.,
De Arbeid is noch lang nich all trech.,Die Arbeit ist noch lange nicht erledigt.,
Snackst du Klingoonsch?,Sprichst du Klingonisch?,
"He verspröök de Slaven, jem free to loten.","Er versprach den Sklaven, sie freizulassen.",
Wat hätt datt to bedüden?,Was hat das zu bedeuten?,
De hele Welt kickt to.,Die ganze Welt schaut zu.,
He itt giern Broot mit dicke Smolt op.,Er isst gerne dick mit Schmalz bestrichene Brote.,
Datt is al Klock söven.,Es ist schon um 7.,
Se seten op en Parkbank.,Sie saßen auf einer Parkbank.,
"Segg mi, wat ik dor mit doon schall.","Sag mir, was ich damit machen soll.",
Dit is Brian Rock.,Dies ist Brian Rock.,
Wullt du mit mi toslapen?,Möchtest du mit mir schlafen?,
Arm wäsen is keene Schann.,Arm sein ist keine Schande.,
Dat is dum Tüüg!,Das ist dummes Zeug!,
De Flegerhaven is dicht.,Der Flughafen ist geschlossen.,
Se het em en Pulli kofft.,Sie kaufte ihm einen Pulli.,
He is weg von tohuus.,Er ist fort von zuhause.,
Se utsnackt jümmerto slecht von annere.,Sie spricht immer schlecht über andere.,
Wat köst disse Mütz?,Was kostet diese Mütze?,
Ik goh hiut abend ut.,Ich gehe heute Abend aus.,
"Du hess versproken, nix to verraden.","Du hast versprochen, nichts zu verraten.",
Dat wees en afkatert Speel.,Das war ein abgekartetes Spiel.,
Mari arbeiden för en grote Firma.,Mari arbeitet für eine große Firma.,
Datt wees hart as Steen.,Das war hart wie Stein.,
Bourbon warrn ut Mais maakt.,Bourbon wird aus Mais gemacht.,
Datt hätt dor nix mit to doot.,Das hat damit nichts zu tun.,
Woneem is dat Book?,Wo ist das Buch?,
"Se deed blangen em sitten un deed sik wünschen, dat se annerwegens wees.","Sie saß neben ihm und wünschte sich, woanders zu sein.",
Wi hebbt keene Kaffee mihr.,Wir haben keinen Kaffee mehr.,
Ik do keene Sucker in miene Koffie.,Ich nehme keinen Zucker in meinen Kaffee.,
Wat is ut sien Söhn worrn?,Was ist aus seinem Sohn geworden?,
Prööv disse Snökeree.,Probiere diese Süßigkeit.,
En dunen Keerl is de Trepp dalfullen.,Ein betrunkener Mann fiel die Treppe hinunter.,
Roop beters foorts den Dokter.,Ruf besser sofort einen Arzt.,
Waorüm ik?,Warum ich?,
Mama! Hector argern mi!,Mama! Hector ärgert mich!,
Wasch di de Fööt.,Wasch dir die Füße.,
"Seh to, dat du dat trech afkriggst!","Sieh zu, dass du das fertig bekommst!",
Woneem kann ik en Stadplaan köpen?,Wo kann ich einen Stadtplan kaufen?,
Du hest doch een an ’e Marmel!,Du hast doch einen an der Waffel!,
He is von sien Unkel groottrucken worrn.,Er wurde von seinem Onkel erzogen.,
Waorüm wullt du dit Book köpen?,Warum willst du das Buch kaufen?,
De Batterie von mien MP3-Speler wees leddige.,Die Batterie meines MP3-Spielers war leer.,
Ik verstah dit Gedicht nich.,Ich verstehe dieses Gedicht nicht.,
He will na de USA gahn.,Er will in die USA gehen.,
En Mann fallt söven Mal un steiht achte Maol op.,Ein Mann fällt siebenmal hin und steht achtmal auf.,
Du harrst vergangen Nacht den Film kieken schullen.,Du hättest gestern Abend den Film sehen sollen!,
Tominnst twintig Hüüs sünd afbrennt.,Mindestens zwanzig Häuser sind abgebrannt.,
"Segent schullt de wäsen, de ich mihr as drie Minuten utsnackt.","Gesegnet seien die, die nicht länger als drei Minuten sprechen.",
Wi sünd blied.,Wir sind glücklich.,
Israel is man en lütt Land.,Israel ist ein sehr kleines Land.,
In dit Viddel dröppt een faken japansche Turisten.,In diesem Viertel trifft man oft japanische Touristen.,
Gest du en Kreditkoort?,Hast du eine Kreditkarte?,
Nüms deed op em achten.,Niemand beachtete sie.,
De Planten bruukt Regent.,Die Pflanzen brauchen Regen.,
Lat sehen.,Lass sehen.,
Böst du op Facebook?,Bist du auf Facebook?,
"Weetst du, woans Mahjongg speelt warrn?","Weißt du, wie man Mahjongg spielt?",
Büst du nich utgahn?,Bist du nicht ausgegangen?,
Lat ehr.,Lass sie.,
Disse Stroom is dree Maal so lang as de annere.,Dieser Fluss ist dreimal so lang wie der andere.,
He ünnerricht Araabsch.,Er unterrichtet Arabisch.,
Villicht stimmt datt.,Vielleicht stimmt das.,
Se is mehr nüüdlich as smuck.,Sie ist eher niedlich als schön.,
Tom un Ria hebbt in’n Oktober heirodt.,Tom und Maria haben im Oktober geheiratet.,
He het datt mit all Macht oplücht.,Er hat das mit aller Macht hochgehoben.,
De Vörhang güng op.,Der Vorhang ging auf.,
"Weet een, wo Tom is?","Weiß jemand, wo Tom ist?",
Beters wat as nix.,Besser etwas als nichts.,
"Dit is datt Huus, in datt he levt.","Dies ist das Haus, in dem er lebt.",
"Dat sünd de Lüüd, de blangenan wahnt.","Sie sind die Leute, die nebenan wohnen.",
"Ik wees dwungen, ehrn Vörslag annehmen.","Ich war gezwungen, ihren Vorschlag zu akzeptieren.",
Kan een wat verkehrt verstaht?,Kann man etwas falsch verstehen?,
’Keene schall datt wäsen?,Wer wird das sein?,
Ik bün kamen üm to seggen dat ik weggah.,"Ich bin gekommen, um dir zu sagen, dass ich weggehe.",
Datt Book is witt.,Das Buch ist weiß.,
En Tieger is gröttern un stärker as en Katz.,Ein Tiger ist größer und stärker als eine Katze.,
En Tiegers is gröttern un stärker as en Katte.,Tiger sind größer und stärker als Katzen.,
All Dören von ’t Huus weren dicht.,Alle Türen des Hauses waren zu.,
Ik bün in een Stünn wedder trügg.,Ich bin in einer Stunde wieder zurück.,
Tööv man en halve Stünn.,Warte bitte eine halbe Stunde.,
Kunnst du mi twe Paketer Sucker ut ’n Schapp halen?,Kannst du mir zwei Pakete Zucker aus dem Schrank holen?,
Mien leevste Klöör is Rood.,Meine Lieblingsfarbe ist Rot.,
En Pull Hoor keek ünner ehr Huuv rut.,Ein Haarbüschel schaute unter ihrem Hut heraus.,
De Laag deed slechter warrt.,Die Lage wurde schlechter.,
De Plaan güng nech op.,Der Plan ging nicht auf.,
Se is nicht goods noog för em.,Sie ist nicht gut genug für ihn.,
Wi kunnen datt Lüden von de nahe Kerk hören.,Wir konnten das Läuten einer nahegelegenen Kirche hören.,
Wo steiht PTA för?,Wofür steht PTA?,
"Datt is en scharpen Toback, säd de Düvel, dann hadd de Jägers em 'ne Ladung Schrot int Gesicht schaten.","Das ist ein scharfer Tabak, sagte der Teufel, dann hatte der Jäger ihm eine Ladung Schrot ins Gesicht geschossen.",
Ik læs keen Beuker.,Ich lese keine Bücher.,
"Tom is to jund, üm Bier to drinkt.","Tom ist zu jung, um Bier zu trinken.",
Lang röck sünd nu nich mehr Mood.,Lange Röcke sind jetzt unmodern.,
Lang röck sünd nu ich mihr Mood.,Lange Röcke sind nun nicht mehr Mode.,
Ik bün keene Student.,Ich bin kein Student.,
Kan ik di üm en Gefallen bidden?,Kann ich dich um einen Gefallen bitten?,
Du schullst weniger smeuken.,Du solltest weniger rauchen.,
De Junge springen.,Der Junge springt.,
De Blötenblöder swömmen op datt Woter.,Die Blütenblätter schwammen auf der Wasseroberfläche.,
Japan un Süüdkorea sünd Naverlänner.,Japan und Südkorea sind Nachbarländer.,
He hett nu een Stünn nix snackt.,Er hat eine Stunde nichts gesprochen.,
In ’n Pries is datt Porto mit in.,Im Preis ist das Porto enthalten.,
Düsse Schoh hört mi to.,Diese Schuhe gehören mir.,
Düsse Schoh hört mi to.,Diese Schuhe gehören ihr.,
Meg hätt en Doos Tomaten kofft.,Meg hat eine Dose Tomaten gekauft.,
"Kiek ees, ’keen dor is!",Schau mal wer da ist!,
Wi levt in datt Tiedöller von de Technik.,Wir leben im Zeitalter der Technik.,
He is groot un stark.,Er ist groß und stark.,
Ik loop lever as mit ’n Buss to fohren.,"Ich gehe lieber, als mit dem Bus zu fahren.",
’Keen leest?,Wer liest?,
He nöhm ehr bi de Hand.,Er nahm sie bei der Hand.,
Ik wahn nu meist fiev Johr in Kanada.,Ich wohne seit fast 5 Jahren in Kanada.,
Ik leev in Kanton.,Ich lebe in Kanton.,
Ik leev in Kanton.,Ich lebe in Guǎngzhōu.,
Wat för en Deert is lütt?,Welches Tier ist klein?,
"Deit mi leeg, datt ik so groff wees.","Es tut mir leid, dass ich so grob war.",
Wi hebbt in de Seed swummen.,Wir schwammen im Meer.,
Ik kunn nich na sien Geboortsdagsparty gahn.,Ich konnte nicht zu seiner Geburtstagsparty gehen.,
Kennst du en goden Tähndokter?,Kennst du einen guten Zahnarzt?,
Düsse Roman is swor to verstohn.,Dieser Roman ist schwierig zu verstehen.,
’Keen is de Schriever von dit Book?,Wer ist der Autor dieses Buches?,
Noorddüütschland is jüst as de Rest von Noordeuropa to ’n grotten Deel evangeelsch-luthersch.,"Norddeutschland ist, so wie der Rest von Nordeuropa, zum großen Teil evangelisch-lutherisch.",
Wis mi diene wohr Gesicht!,Zeig mir dein wahres Gesicht!,
Wies mi dien wohr Gesicht!,Zeige mir dein wahres Gesicht!,
Bünt du al in England wesen?,Warst du schon einmal in England?,
Do keem mi en goden Idee.,Da kam mir eine gute Idee.,
Ik warr faken mit mien Bröder vergleken.,Ich werde oft mit meinen Brüdern verglichen.,
Se hett noch mehr Böker.,Sie hat noch mehr Bücher.,
Ik bün op Holsken rutstevelt.,Ich bin auf Holzschuhen rumgestiefelt.,
Wo löppt he nu?,Wo rennt er jetzt?,
"Ik fraag mi, ’keene ik inladen schall.","Ich frage mich, wen ich einladen soll.",
En Dokter ahn goden Avtheker is as en Generaal ahn goden Attillerie.,Ein Arzt ohne erstklassigen Apotheker ist wie ein General ohne Artillerie.,
Disse Insel is franzöösch wesen.,Diese Insel war französisch gewesen.,
Se is mit em in ’n Zoo gahn.,Sie ist mit ihm in den Zoo gegangen.,
Kan ik wat to äten kregen?,Kann ich etwas zu Essen bekommen?,
He is mit ’t Taxi na Kawogoe fohrt.,Er ist mit dem Taxi nach Kawogoe gefahren.,
Ungarn un de Slowakei sünd Navers.,Ungarn und die Slowakei sind benachbart.,
He hett veel Böker.,Er besitzt viele Bücher.,
Du lüggst!,Du lügst!,
Du lüggst.,Du lügst.,
Wi sünd bang vör ’n Dood.,Wir fürchten den Tod.,
Wi sünd bang vör ’n Dood.,Wir fürchten uns vor dem Tod.,
He hett den Ümslag apen maakt.,Er öffnete den Umschlag.,
"Dat lett, as wenn he dat hild harrn.","Es scheint, dass er es eilig hatte.",
"Ik waag datt nech, bi em weddertosnacken.","Ich wage nicht, ihm zu widersprechen.",
De Mulltünn is vull.,Die Mülltonne ist voll.,
’Keene is diene Schoolmeester?,Wer ist dein Lehrer?,
’Keen schall de Rull von de Prinzess spelen?,Wer soll die Rolle der Prinzessin spielen?,
Ik heff mit Smeuken un Drinkt ophöört.,Ich habe aufgehört zu rauchen und zu trinken.,
Datt Museum is en Besöök weert.,Dieses Museum ist einen Besuch wert.,
Miene Roboter heet Maruchi.,Mein Roboter heißt Maruchi.,
"Ik hoff, Tom kriegt de Prüfung hen.","Ich hoffe, Tom schafft die Prüfung.",
Kaam mi beseuken.,Komm mich besuchen.,
Bob het em wedder sehen.,Bob hat ihn wieder gesehen.,
Ik heff em na mi tohuus inlaadt.,Ich habe ihn zu mir nach Hause eingeladen.,
Ik heff äten.,Ich habe gegessen.,
De Eer is en Planeet.,Die Erde ist ein Planet.,
Ken hett namiddag to doon.,Ken ist heute Nachmittag beschäftigt.,
Woveel Inwahners hett New York?,Wie viele Einwohner hat New York?,
De Wind weiht.,Der Wind weht.,
Dat wees sien egen Schuld.,Das war sein eigener Fehler.,
Rachter di!,Hinter dir!,
Krempel diene Mauen hoog un pack an.,Krempel die Ärmel hoch und pack an.,
Mi deit de Schuller weh.,Mir tut die Schulter weh.,
Ik sitt nich geern buten.,Ich sitze nicht gerne draußen.,
De seukt Friewillige.,Die suchen Freiwillige.,
Dat is en Schipp.,Das ist ein Schiff.,
Dor weren üm un bi twintig Lüüd.,Dort waren ungefähr 20 Leute.,
Datt Huus is von de Flood wegreten worrn.,Das Haus wurde von der Flut mitgerissen.,
Wat hätt Tom gegen mi?,Was hat Tom gegen mich?,
Ik heff en Braken ut ’n Boom saagt.,Ich habe einen Ast aus dem Baum gesägt.,
Kann ik dien Wöörbook bruken?,Kann ich dein Wörterbuch benutzen?,
Ik bün trüggkamen.,Ich bin zurückgekommen.,
Dien Slips passt to dien Hemd.,Diese Krawatte passt zu deinem Hemd.,
Ulen jaagt bi Nacht.,Eulen jagen bei Nacht.,
Ik kunn keen Kuntakt mit em opnehmen.,Ich konnte keinen Kontakt mit ihm aufnehmen.,
Süst du süs noch wat?,Siehst du sonst noch etwas?,
Du schasst de slechte Naricht woll höört hebben.,Du wirst die schlechte Nachricht gehört haben.,
Europa hett mehr Kultur!,Europa hat mehr Kultur!,
En Quadraat hett veer lieker lang Kanten.,Ein Quadrat hat vier gleich lange Seiten.,
Dat Weder deed slechter warrn.,Das Wetter verschlechterte sich.,
"Troo kenen Ossen vun vörn, den Peerd nicht vun achtern un den Lüdd vun allens Sieden","Traue dem Ochsen nicht von vorn, dem Pferd nicht von hinten, und den Menschen von allen Seiten nicht.",
’Keen hett den Steen op mien Hund smeten?,Wer warf den Stein auf meinen Hund?,
Wi hebbt in ’t Museum en Mumie sehn.,Wir haben im Museum eine Mumie gesehen.,
Ik bün dat wennt.,Ich bin daran gewöhnt.,
De Utblick von ’n Topp is temlich schöön.,Der Ausblick vom Gipfel ist sehr schön.,
"Ik kann mi op dat Huus besinnen, in dat ik opwussen bün.","Ich erinnere mich an das Haus, in dem ich aufgewachsen bin.",
Se is jünger as he.,Sie ist jünger als er.,
Ik heff den ganzen Namiddag dörslapen.,Ich habe den ganzen Nachmittag durchgeschlafen.,
Se hett ehr Frünnen to ’n Avendeten inlaadt.,Sie hat ihre Freunde zum Abendessen eingeladen.,
Wat is de längste Stroom in Japan?,Welcher ist der längste Strom in Japan?,
Se hett in’e School Latien lehrt.,Sie hat in der Schule Latein gelernt.,
Se nömen dat Schipp „Mayflower“.,"Sie nannten das Schiff ""Mayflower"".",
Man driest to.,Nur weiter so!,
Man driest to.,Weiter so!,
Man driest to.,Weitermachen!,
"Ik kööm, ik seh, ik wunn.","Ich kam, sah und siegte.",
Nüms glöövt mi.,Niemand glaubt mir.,
Nüms glöövt mi.,Keiner glaubt mir.,
"Ik will weten, wat vörfallen is.","Ich wollte wissen, was geschehen war.",
"Du musst doon, wat di seggt warrn.","Du musst tun, was man dir gesagt hat.",
Ik heff en Mann mit een Been sehen.,Ich habe einen Mann mit einem Bein gesehen.,
Hest du dit Book schreven?,Hast du dieses Buch geschrieben?,
Du hest dit Book schreven?,Du hast dieses Buch geschrieben?,
Disse Boom hett en Ümfang von dree Meter.,Dieser Baum hat einen Umfang von drei Metern.,
Wi hebbt övers veele Saken utsnackt.,Wir haben über viele Dinge geredet.,
Wi hebbt övers veele Saken utsnackt.,Wir sprachen über viele Dinge.,
In Sovjetrussland lihrt de Lex den Lehrer!,In Sowjetrussland lehrt die Lektion den Lehrer!,
Laat uns Feernsehn kieken.,Lass uns Fernsehen gucken.,
"Mi dücht, he hett dat daan.","Ich denke, er hat es getan.",
Wullt du wat drinken?,Möchtest du etwas zu trinken?,
Wullt du wat drinkt?,Willst du etwas trinken?,
Wullt du wat drinken?,Möchtest du was trinken?,
Wullt du wat drinkt?,Willst du was trinken?,
Wat wullt du drinkt?,Was möchtest du trinken?,
Wi hebbt mit en övers sien Studienplään utsnackt.,Wir haben mit ihm über seine Studienpläne gesprochen.,
Professer Jones geit toern Joht in Rent.,Professor Jones geht nächstes Jahr in Rente.,
Is de Butenminister al ankamen?,Ist der Außenminister schon angekommen?,
"Keeneen het tohöört, wat ik segg.","Keiner hat zugehört, was ich sage.",
Datt is en DVD.,Das ist eine DVD.,
"Datt wees eens en grotten Köning, de hätt in Grekenland levt.","Es war einmal ein großer König, der lebte in Griechenland.",
Nadem harrn he keen licht Leven.,Er hatte danach kein leichtes Leben.,
Waorüm bestraafst du ehr?,Warum bestrafst du sie?,
Waorüm bestraafst du ehr?,Wieso bestrafst du sie?,
Wi importeert Kaffe ut Brasilien.,Wir importieren Kaffee aus Brasilien.,
He het toveel Hau op siene Fork nohmen.,Er hat zu viel Heu auf seine Gabel genommen.,
"Segg disse Lüe, dat se torügge gaan, damit de Heevschruver lannen kann.","Sagen Sie diesen Leuten, sie sollen zurückgehen, damit der Hubschrauber landen kann.",
Se hebbt al betere Daag sehn.,Sie haben schon bessere Tage gesehen.,
"Wies mi op de Koort baven, woneem Puerto Rico liggt.","Zeigen Sie auf der obigen Karte, wo Puerto Rico liegt.",
Wat för en snaaksche Idee.,Was für eine seltsame Idee!,
He is as en Pogg in en Pütt.,Er ist wie ein Frosch in einem Brunnen.,
De Schauspelerin süht jünger ut as wat se is.,"Die Schauspielerin sieht jünger aus, als sie ist.",
Woans hest du ehr kennenlehrt?,Wie hast du sie kennengelernt?,
He peddt mi!!,Er tritt mich!,
Sucker smült in warm Woter.,Zucker schmilzt in warmem Wasser.,
Se is süchtig na Farmville.,Sie ist nach Farmville süchtig.,
Se is süchtig na Farmville.,Sie ist Farmville verfallen.,
Fabre hätt Böker övers Insekten schräven.,Fabre schrieb Bücher über Insekten.,
Fabre hett Böker över Insekten schreven.,Fabre hat Bücher über Insekten geschrieben.,
"Disse Steen wees so swor, datt ik em ich lüchten unn.","Dieser Stein war so schwer, dass ich ihn nicht heben konnte.",
Föhr sinnig.,Fahre langsam.,
De Wehdaag het bilütten nalaten.,Der Schmerz hat ein wenig nachgelassen.,
"Dat is allen, wat ik maken kann.","Das ist alles, was ich machen kann.",
"Giff mi wat, wo ik up schreven kann.","Gib mir etwas, worauf ich schreiben kann.",
En Frömmen steiht vüör datt Huus.,Ein Fremder steht vor dem Haus.,
Is datt diene DVD?,Ist das deine DVD?,
Fievdusend Dollar sünd en Hümpel Geld.,Fünftausend Dollar sind eine große Menge Geld.,
Fievdusend Dollar sünd en Hümpel Geld.,Fünftausend Dollar sind ein Batzen Geld.,
Höört ji?,Hörst du zu?,
Woans büs du an dit Geld komen?,Wie bist du an dieses Geld gekommen?,
