nds,de,title
Ik versuup!,Ich ertrinke!,
Do datt Füer ut!,Lösch das Feuer!,
Was Tom dor?,War Tom da?,
"Datt letzt Mal, datt ik di sehen heff, wees vüör twintig Joht.","Das letzte Mal, als ich dich gesehen habe, war vor zwanzig Jahren.",
De Stried geit wieder!,Der Streit geht weiter!,
Tom spält ok goot Schach.,Tom spielt auch gut Schach.,
Jüst datt!,Genau!,
De Buurn hebbt övers den veele to natten Sommer klaagt.,Die Bauern klagten über den viel zu nassen Sommer.,
Datt kost nix.,Das ist kostenlos.,
Datt kost nix.,Das ist gratis.,
Kost datt nix?,Ist das kostenlos?,
Datt Slimmste an ’n Winter is de Snee.,Das Schlimmste am Winter ist der Schnee.,
De Katte speelt giern in ’n Goorn.,Die Katze spielt gerne im Garten.,
"Wenn Se wüllt, künnt Se huer teuven.","Wenn Sie wollen, können Sie warten.",
Waorüm fraagst du?,Warum fragst du?,
So het he de Maschienen rutfunnwn.,So hat er die Maschine erfunden.,
Düsse Stohl is ut Plastik.,Dieser Stuhl ist aus Plastik.,
Datt Woter ut düssen Born is keene Drinkwater.,Das Wasser aus diesem Brunnen ist kein Trinkwasser.,
Datt anfangt nicht vüör halvig negen an.,Das fängt nicht vor acht Uhr dreißig an.,
Wi speelt gern Football.,Wir spielen gern Fußball.,
Ik snack diene Spraak.,Ich spreche deine Sprache.,
Ik smeck na Solt.,Ich schmecke Salz.,
Datt Gesett gellt för elkeen egaalweg.,Das Gesetz gilt für alle.,
"Hör op, datt to seggen!","Hör auf, das zu sagen!",
Use Heens leggt veele Eier.,Unsere Hennen legen viele Eier.,
De Präsidenten hätt de Slaveree afschafft.,Der Präsident hat die Sklaverei abgeschafft.,
Siene Foto wees in ’t Bladd.,Sein Foto war in der Zeitung.,
Isabela wees miene eerste Fründin.,Isabela war meine erste Freundin.,
Ik heff miene Autoslötels verlorene.,Ich habe meinen Autoschlüssel verloren.,
"’Keene de Koh tohöört, fatt se bi ’n Steert.","Wem die Kuh gehört, der fasse sie beim Schwanz.",
Een het miene Tasch wegnahmen.,Jemand hat meine Tasche weggenommen.,
Dor woren man söss Lüdd op de Fier.,Es waren nur sechs Leute auf der Party.,
Ik schüddköpp.,Ich schüttelte den Kopf.,
Wullt du noch en Tass Tee?,Willst du noch eine Tasse Tee?,
Ik müss wählen twischen A un B.,Ich musste zwischen A und B wählen.,
Kaam ich to lat!,Verspäte dich nicht!,
Gest du noch nix daan?,Hast du noch nichts getan?,
Tom hätt nu en egen Kamern.,Tom hat jetzt ein eigenes Zimmer.,
Ik heff braken.,Ich habe erbrochen.,
"’Keene siene Broot ik eet, den siene Leeg ik sing.","Wes Brot ich ess, des Lied ich sing.",
Ik kenn ehr twe Joht.,Ich kenne sie seit zwei Jahren.,
Tom deed en Liek op ’t Poppeer teken.,Tom zeichnete eine Gerade auf das Papier.,
Se het en groot Tittwark.,Sie hat dicke Titten.,
London is een von de gröttsten Städer op de Welt.,London ist eine der größten Städte der Welt.,
Ik verstoh em nech.,Ich verstehe ihn nicht.,
Waorüm wullt du düsse Spraak lihren?,Warum willst du diese Sprache lernen?,
Se hööl ehr Ogen slaten.,Sie hielt ihre Augen geschlossen.,
Ik wull giern Zigarren hebben.,Ich möchte gern Zigarren haben.,
Wi hebbt en poor Daag lange keene Fleesch äten.,Wir haben ein paar Tage lang kein Fleisch gegessen.,
Dissen Disk is ut Holt maakt.,Dieser Tisch ist aus Holz gemacht.,
Ik kenn diene Spraak.,Ich kenne deine Sprache.,
Ik deed gern Araabsch lihren.,Ich würde gern Arabisch lernen.,
Se wees so dumm un hätt datt glövt.,Sie war so dumm und hat es geglaubt.,
Datt het veele sniet.,Es hat viel geschneit.,
He mag Schokoladenkoken.,Er mag Schokoladenkuchen.,
Bünt du dor faken wäsen?,Bist du dort oft gewesen?,
Judy danst teemlich goods.,Judy tanzt sehr gut.,
Nu is he an ’e Reeg.,Nun ist er an der Reihe.,
Ik bün en Masochist.,Ich bin ein Masochist.,
"Ik weet, datt ik nix weet.","Ich weiß, dass ich nichts weiß.",
Na 125 Johren Entwicklung is kloor: Esperanto is mihr as blos ene Sprook.,Nach 125 Jahren Entwicklung ist klar: Esperanto ist mehr als nur eine Sprache.,
Datt warrn koler.,Es wird kälter.,
Woneem is de Kass?,Wo ist die Kasse?,
En Imm summt.,Eine Biene summt.,
"Datt süht ut, as wenn datt sneen warrn.","Es sieht aus, als wird es schneien.",
Gefallt jo datt?,Gefällt euch das?,
Ik bün doch keene Baby!,Ich bin doch kein Baby!,
Wiehnachten is an ’n 25. Dezember.,Weihnachten ist am 25. Dezember.,
Ut nix warrn nix.,Aus nichts wird nichts.,
Datt is en lütter Hund.,Es ist ein kleiner Hund.,
Datt is en lütte Hund.,Das ist ein kleiner Hund.,
Wat hess du kofft?,Was hast du gekauft?,
Allen is prima.,Alles ist bestens.,
Allen is prima.,Alles ist prima.,
Wo lange speelst du al Football?,Wie lange spielst du schon Fußball?,
Steve seeg tæmlich tofreden ut.,Steve sah sehr zufrieden aus.,
Ik heff wat mit di to bekören.,Ich muss mit dir über etwas reden.,
Ik heff wat mit di to bekören.,Ich habe etwas mit dir zu besprechen.,
Se wohnt in en Dörpe.,Sie wohnt in einem Dorf.,
He is na Paris reist.,Er ist nach Paris gereist.,
George wiggt tominnst 70 Kilo.,George wiegt mindestens 70 Kilogramm.,
Se güng alleen in ’t Kino.,Sie ging allein ins Kino.,
Ik kan Football speelen.,Ich kann Fußball spielen.,
Arabien is rieke an Ööl.,Arabien ist reich an Öl.,
Ik wull datt ook nicht mihr wedder doot.,Ich will es auch nicht mehr wieder tun.,
Ik wull as Picasso wäsen.,Ich möchte wie Picasso sein.,
Ik wull as Picasso wäsen.,Ich will wie Picasso sein.,
Ik heff Jim von miene Kinnertied af an kinnt.,"Ich habe Jim gekannt, seitdem ich ein Kind war.",
Allerbest!,Klasse!,
En Tiegers opdükert in de Neeg op.,Ein Tiger erscheint in der Nähe.,
Carl Benz hätt 1886 datt Patent för datt eerste Automobil kriegen.,Carl Benz hat 1886 das Patent für das erste Automobil erhalten.,
Holt brent.,Holz brennt.,
De Süsters sünd alle beid teemlich smucket.,Alle beide Schwestern sind sehr hübsch.,
Wat von miene Geld is stahlen worrn.,Ein Teil von meinem Geld ist gestohlen worden.,
Datt is miene Fohrrad.,Das ist mein Fahrrad.,
"Is nu jüst een Joht verleden, datt miene Fründ dootbleven is.","Es ist nun gerade ein Jahr vergangen, dass mein Freund gestorben ist.",
Ik heff twe Bröder.,Ich habe zwei Brüder.,
"Oh, datt süht lecker ut!","Oh, das sieht lecker aus!",
En gode Ünneroffzeer süht sick al as General.,Ein guter Unteroffizier sieht sich schon als General.,
En typische Krankenswester maakt so Saken as mit de Miegbuddel helpen un vüör en Operation de Steed raseren.,"Eine typische Krankenschwester macht solche Dinge, wie mit der Urinflasche zu helfen und das Operationsfeld zu rasieren.",
Is datt diene Komer?,Ist das dein Zimmer?,
Ik mag em ich.,Ich mag ihn nicht.,
’Keene is joon Engelsch-lehrer?,Wer ist euer Englischlehrer?,
Un wat maakt wi nu?,Und was machen wir jetzt?,
"Ik warr allen doot, üm di to gefallen.","Ich werde alles tun, um dir zu gefallen.",
Datt kost twintig Euro.,Das kostet zwanzig Euro.,
Weer nech so streng to de Kinners.,Sei nicht so streng zu den Kindern.,
Magst du düssen Goorn?,Magst du diesen Garten?,
Se is jümmerto blied un smüüstert.,Sie ist immer heiter und lächelt.,
Ik bün in de vergangen tein Joht nienich krank wäsen.,Ich war in den letzten zehn Jahren nie krank.,
Du schullst diene Kinners en goods Vörbild wäsen.,Du solltest deinen Kindern ein gutes Vorbild sein.,
Se hebbt elk för sick betohlt.,Sie zahlten jeder für sich.,
Waorüm schient de Maand nachtens?,Warum scheint der Mond nachts?,
Ik heff ehr Telefonnummer opschreven.,Ich schrieb ihre Telefonnummer auf.,
Datt Huus is hunnerd Meter hoog.,Das Haus ist hundert Meter hoch.,
Datt Huus is hunnerd Meter hoog.,Das Hochhaus ist hundert Meter hoch.,
Gaht wi wieder.,Gehen wir weiter.,
Mika tövt ünnen.,Mike wartet unten.,
"De Buurn harr fief Ossen un negen Keih un twölv Schaap vüör datt Dörpe brocht, de wullen se verköpen.","Die Bauern hatten fünf Ochsen und neun Kühe und zwölf Schäfchen vor das Dorf gebracht, die wollten sie verkaufen.",
"Ik heff gornich mitkregen, datt he rutgahn is.","Ich habe gar nicht mitbekommen, dass er rausgegangen ist.",
Ik bün den ganzen Dag tohuus bleven.,Ich bin den ganzen Tag zu Hause geblieben.,
Ik bün bange vüör wille Deerten.,Ich habe Angst vor wilden Tieren.,
Wi sünd lat.,Wir sind spät dran.,
Holthüüs anfangt licht Füer.,Holzhäuser fangen leicht Feuer.,
Wi seten vörn.,Wir saßen vorne.,
Ik bruuk em nicht mihr.,Ich brauche ihn nicht mehr.,
Ik schull datt letztere seggt harr.,"Das ist das, was ich sagen wollte.",
"Harrn ik en Hund, deed ik em Tom nömen.","Hätte ich einen Hund, würde ich ihn Tom nennen.",
Ik wull na Lemberg...,Ich möchte nach Lemberg fahren.,
"Jümmerto wenn ik mi verkeuhlt heff, löpt mi de Nees.","Immer wenn ich eine Erkältung habe, läuft meine Nase.",
Sied vörig Joht leev ik ich mihr in Sanda.,Seit vorigem Jahr habe ich nicht mehr in Sanda gewohnt.,
Mit Geld geit allen.,Mit Geld geht alles.,
He verköfft Grööntüüg in düssen Laden.,Er verkauft Gemüse in diesem Laden.,
Wat is diene leevst Gedicht?,Was ist dein Lieblingsgedicht?,
De Junge drinken Melk.,Der Junge trinkt Milch.,
Het he Maria besökt?,Hat er Maria besucht?,
Se kofft en Book in ’n Laden.,Sie kaufte ein Buch in dem Laden.,
Wat för en prächtigen Goorn!,Was für ein prächtiger Garten!,
"Ik heff vergäten, wat ik seggen will.","Ich habe vergessen, was ich sagen wollte.",
"Vonwegen datt he mi nech doodmaken unn, heff ik em doodmaakt.","Da er mich nicht töten konnte, tötete ich ihn.",
"Datt wees reinen Tofall, datt he datt Speel wunnen hätt.","Es war reiner Zufall, dass er das Spiel gewann.",
Een Euro sünd een Dollar föfftig Cent.,Ein Euro sind ein Dollar fünfzig Cent.,
Ik gah duuschen.,Ich gehe duschen.,
Ik wünsch di en goden Reis.,Ich wünsche dir eine gute Reise.,
"En gode Ünneroffzeer dröömt dor von, en General to wäsen.","Ein guter Unteroffizier träumt davon, ein General zu sein.",
De Minister müss Bott gäven.,Der Minister musste von seinem Amt zurücktreten.,
Se hebbt brune Huud un swarte Hoor.,Sie haben braune Haut und schwarze Haare.,
Ik heff nix to seggen.,Ich habe nichts zu sagen.,
In China warrn na ’n Maandklenner Neejohr fiert.,In China wird nach dem Mondkalender Neujahr gefeiert.,
Ik lees jüst en Book.,Ich lese gerade ein Buch.,
Ik wull datt opeten.,Ich möchte das aufessen.,
"Datt is mooi, un dit is ook mooi.","Das ist schön, und das ist auch schön.",
He het de Maschienen anmaakt.,Er hat die Maschine eingeschaltet.,
Tom keek se en poor Ogenblicken an.,Tom sah sie einige Augenblicke lang an.,
Datt is man Gissen.,Das sind nur Vermutungen.,
Waorüm warrn wi boren?,Warum werden wir geboren?,
Hiroko seet dor ganz alleen.,Hiroko saß dort ganz alleine.,
Ik speel giern Shogi.,Ich spiele gerne Shogi.,
Ik heff ehr noch nien vörher sehen.,Ich habe sie noch nie zuvor gesehen.,
Datt Vörjohr is vörbi un de Sommer anfangt an.,Das Frühjahr ist vorbei und der Sommer fängt an.,
Wat gest du seggt? Kunnst datt noch wedder seggen?,Was hast du gesagt? Kannst du das wiederholen?,
De April is de veerte Maand in ’t Joht.,April ist der vierte Monat im Jahr.,
De April is de veerte Maand in ’t Joht.,April ist der vierte Monat des Jahres.,
De Batterie is leddige.,Die Batterie ist leer.,
De Batterie is leddige!,Die Batterie ist leer!,
Ik wull keene Sucker.,Ich will keinen Zucker.,
He kümmert sick nicht üm siene Kinners.,Er kümmert sich nicht um seine Kinder.,
"Deit mi leeg, ik heff ganz un gor vergäten datt to doot.","Verzeihung, ich habe es total vergessen, das zu tun.",
De Diek is drie Meter deep.,Der Teich ist 3 Meter tief.,
De Diek is drie Meter deep.,Der Teich ist drei Meter tief.,
Hebbt ji al äten?,Habt ihr schon gegessen?,
Heff ik mi verjaagt! Sliek di doch ich so von achtern an!,Hab ich mich erschreckt! Schleich dich doch nicht so von hinten an!,
Dor wees nüms in ’n Goorn.,Da war niemand im Garten.,
Du musst gedülliger wäsen.,Du musst geduldiger sein.,
Peter is opstunns nech dor.,Peter ist im Moment abwesend.,
Afkennst du ehr?,Kennst du sie?,
Du afkennst ehr?,Du kennst sie?,
Se kriegt ehr Kind in ’n Juli.,Sie bekommt ihr Kind im Juli.,
Gah nicht weg!,Gehe nicht weg!,
Gah ich weg!,Geh nicht weg!,
Woans warrn düsse Vågel nöömt?,Wie nennt man diesen Vogel?,
Hebbt ji en Stadplaan?,Haben Sie einen Stadtplan?,
Hebbt ji en Stadplaan?,Habt ihr einen Stadtplan?,
Ik wull dor nix mit to doot hebben.,Ich möchte damit nichts zu tun haben.,
Dor wull ik nix mit to doot hebben.,Damit will ich nichts zu tun haben.,
Tom hätt ok keene Smacht.,Tom hat auch keinen Hunger.,
"Ik weet, wo swoor di datt fallt.","Ich weiß, wie schwer dir das fällt.",
Tom reist veele.,Tom reist viel.,
Ik heff Schmacht.,Ich habe Hunger!,
Datt is en Sneemann.,Das ist ein Schneemann.,
Tom het al Meddag äten.,Tom hat schon zu Mittag gegessen.,
Wi stahn mit uns Rügg gägen de Müür.,Wir stehen nun mit unserem Rücken an der Wand.,
Ik plan in en Puff te arbeiden.,"Ich plane, in einem Bordell zu arbeiten.",
Se wüllt na’e Ukrain.,Sie wollen in die Ukraine.,
Uns Vörfohr kemen vüör 150 Joht in dit Land.,Unsere Vorfahren kamen vor 150 Jahren in dieses Land.,
Ik mag Tee lever as Kaffee.,Ich mag Tee lieber als Kaffee.,
Ik mag Kaffee lever as Tee.,Kaffee mag ich lieber als Tee.,
En Pogg keem ut datt Woter.,Ein Frosch kam aus dem Wasser.,
Datt Slott steiht an en schönen Seed.,Das Schloss steht an einem schönen See.,
Ik söök en Pullover.,Ich suche einen Pullover.,
Ik heff datt Bild al maol sehen.,Ich habe das Bild schon mal gesehen.,
Du dröffst en poor Daag lange nix äten.,Du darfst ein paar Tage lang nichts zu dir nehmen.,
Ik heff mien Fantasie brukt.,Ich habe meine Phantasie benutzt.,
Ik heff mien Fantasie brukt.,Ich habe meine Phantasie bemüht.,
De Levensduur von son Batterien is üm un bi drie Joht.,Die Lebensdauer solcher Batterien beträgt ungefähr drei Jahre.,
Lat uns de Kassett anhören.,Lasst uns die Kassette anhören.,
"Wenn allen goods löpt, slütt he datt Studium 2001 af.","Wenn alles gut läuft, schließt er das Studium 2001 ab.",
Gah trügg op diene Platz.,Geh zurück auf deinen Platz.,
Schmidt het küert un Kohl hett schöölt.,Schmidt hat gesprochen und Kohl hat geschimpft.,
Mien Frünnen hebbt mi to ’n Äten nödigt.,Meine Freunde luden mich zum Essen ein.,
Se is mit ’n Buss na Chicago fohrt.,Sie fuhr mit dem Bus nach Chikago.,
Du musst ehre Wanung seen.,Du musst ihre Wohnung sehen.,
Du musst ehre Wanung seen.,Du solltest ihre Wohnung sehen.,
Düsse Blomen hebbt en apartigen Röök.,Diese Blumen haben einen einzigartigen Geruch.,
"Nickel is en hart, hell sülvern Metall.","Nickel ist ein hartes, hell silbernes Metall.",
"Ik weet nech, ’keene den Koken maakt hätt.","Ich weiß nicht, wer den Kuchen gemacht hat.",
Se het mit em weddt.,Sie hat mit ihm gewettet.,
"De Tweeschen gliekt sick so dulle, datt datt meist nicht mööglich is, de twe uteneentohollen.","Die Zwillinge sehen sich so ähnlich, dass es so gut wie unmöglich ist, den einen vom anderen zu unterscheiden.",
Smökt ji?,Raucht ihr?,
Se is binah sösstig.,Sie ist beinahe sechzig.,
Ik bün kaputt.,Ich bin kaputt.,
Datt Book hört mi to.,Das Buch gehört mir.,
Datt Book hört mi to.,Dieses Buch gehört mir.,
"Ick wüss ich, datt he dor wees.","Ich wusste nicht, dass er da war.",
"Ick wüss nech, datt he dor wees.","Ich wusste nicht, dass er hier war.",
Stööv datt Reck af.,Staube das Reck ab.,
"Hess du dor wat tegen, wenn ik datt finstern apendo?","Hättest du etwas dagegen, wenn ich das Fenster öffne?",
"Sodraag he mi sehen deed, lööp he weg.","Sobald er mich gesehen hatte, lief er weg.",
He seet rachter Tralljen.,Er saß hinter Gittern.,
Meg ehr Hoor sünd von Natuur krüllen.,Megs Haare haben natürliche Locken.,
De Seed is störmsch.,Die See ist stürmisch.,
"Ik kan mi noch op en Geschicht besinnst, de mien Oma mi vertellt hätt.","Ich erinnere mich an eine Geschichte, die meine Oma mir erzählt hat.",
Kan ik mit miene Kreditkoort betahlen?,Kann ich mit meiner Kreditkarte bezahlen?,
Häng diene Mantel an ’n Haken.,Häng deinen Mantel an den Haken.,
"Datt is nicht so slimm, as du denkst.","Es ist nicht so schlimm, wie du denkst.",
Köönt ji mi bi de Bibliothek afsetten?,Könnt ihr mich an der Bibliothek absetzen?,
"Segg uns, wat wi nu doot schullt.","Sag uns, was wir als Nächstes tun sollen.",
Ik kan miene Navers ich utstahn.,Ich kann meine Nachbarn nicht ausstehen.,
"Wasch dien Fööt, datt du den Dreck kriggst.","Wasch deine Füße, damit du den Dreck herunter bekommst.",
Wi hebbt noog Woter.,Wir haben genug Wasser.,
Datt Läven is as en Reis.,Das Leben gleicht einer Reise.,
He keem ook nech.,Er kam auch nicht.,
Sünd Supp un Slaat in düssen Pries mit in?,Sind Suppe und Salat in diesem Preis enthalten?,
Waorüm sünd in miene Salaatbedd soveel Sniggen?,Warum sind in meinem Salatbeet so viele Schnecken?,
’Keene het mi miene Korf mit Fleesch stahlen?,Wer hat mir meinen Korb mit Fleisch gestohlen?,
Wi hebbt an ’n Strand speelt.,Wir haben am Strand gespielt.,
Villicht harrn ik datt beters nicht doot schullen.,Vielleicht hätte ich das besser nicht tun sollen.,
Wi hebbt ehrder as ans Meddag äten un sünd halvig een loosgahn.,Wir haben früher als sonst zu Mittag gegessen und sind um 12:30 Uhr losgegangen.,
"Ik verstoh ich, wo ji von utsnackt.","Ich verstehe nicht, worüber ihr redet.",
Datt Klima huer is as in Frankriek.,Das Klima hier ist wie in Frankreich.,
Ik heff en Hartanfall hatt.,Ich habe einen Herzanfall gehabt.,
Datt schall nu en lütt bäten weh doot.,Das wird jetzt ein klein wenig weh tun.,
Ik bün ’n Udel.,Ich bin von Beruf Polizist.,
Ik speel up wat anners an.,Ich spiele auf etwas anderes an.,
Ik mag düssen Hund.,Ich mag diesen Hund.,
Ik schall di datt Autoföhren lihren.,Ich werde dir das Autofahren beibringen.,
Du dröffst nech rechts fohren.,Du darfst nicht rechts fahren.,
De Brügg is ut Steen.,Die Brücke dort ist aus Stein.,
Wullt du wat to äten?,Möchtest du etwas zu essen?,
Wat wullt du to äten?,Was möchtest du zu essen?,
’Keene arbeidst du för?,Für wen arbeitest du?,
Börgermeester Beccaria is dood.,Bürgermeister Beccaria ist tot.,
He is Busfohrers.,Er ist Busfahrer.,
Man siene Frünnen nöömt em Ken.,Aber seine Freunde nennen ihn Ken.,
"Kiek na, ’keene datt is.","Schau nach, wer es ist.",
Du rückst ut ’n Mund.,Du hast Mundgeruch.,
Datt lett as wenn he slapen is.,Er scheint eingeschlafen zu sein.,
En Moskito hätt mi jüst staken.,Ein Moskito hat mich gerade gestochen.,
Mien Mudder het datt Huus vüör tein Minuten verloten.,Meine Mutter hat das Haus vor zehn Minuten verlassen.,
De Toilett wees rachter de Trepp.,Die Toilette befindet sich hinter der Treppe.,
Datt Baby ween de ganze Nacht.,Das Baby weinte die ganze Nacht.,
"Gebildt' Lüd dropen sik, säd de Voss, denn güng hei mit de Gaus spazeren.","Gebildete Leute treffen sich, sagte der Fuchs, dann ging er mit der Gans spazieren.",
Wi segen em narms.,Wir sahen ihn nirgends.,
Se is ook Verköpersch.,Sie ist auch Verkäuferin.,
Datt köönt wi nicht doot.,Das können wir nicht tun.,
Se köff en niggen polter.,Sie kaufte ein neues Hemd.,
Datt Hauhn is in de Köök.,Das Huhn ist in der Küche.,
Ik heff en bäten Fever.,Ich habe ein wenig Fieber.,
Wat is diene Verscheel övers miene Book?,Was ist deine Meinung über mein Buch?,
Datt Experiment harrn Spood.,Das Experiment war erfolgreich.,
A is fief Mal länger as B.,A ist fünfmal länger als B.,
En Riesschaal wiggt üm un bi 180 Gramm.,Eine Reisschale wiegt ca. 180 Gramm.,
Se schullt Gummistevel hebben.,Sie sollten Gummistiefel haben.,
Ik gah to Foot na School.,Ich gehe zu Fuß zur Schule.,
He will en to grotten Boom mit siene Biel ümmaken.,Er wollte einen zu großen Baum mit seinem Beil fällen.,
Ik heff en Katz un en Hund.,Ich habe eine Katze und einen Hund.,
Datt Lock is groot noog.,Das Loch ist groß genug.,
Vergangen Nacht heff ik en Book leest.,Letzte Nacht las ich ein Buch.,
Bill di dor man nix op in!,Bilde dir nur nichts darauf ein!,
Ick heff de Schieterigge.,Ich habe Durchfall.,
Se hätt veele Frünnen in Hongkong.,Sie hat viele Freunde in Hongkong.,
Siene Läven is in Gefohr.,Sein Leben ist in Gefahr.,
Wullt du Geld?,Möchtest du Geld?,
Datt is ich miene Schuld!,Das ist nicht meine Schuld.,
Datt is nech miene Schuld.,Das ist nicht meine Schuld.,
Japaanschen is miene Moddersprook.,Japanisch ist meine Muttersprache.,
He is de gröttst von de drie.,Er ist der größte von den dreien.,
Ik söök na diene Süster. Woneem is de?,Ich suche nach deiner Schwester. Wo ist sie?,
He bevert as Eschenloov.,Er zittert wie Espenlaub.,
Waorüm gest du mi hüüd nacht nicht anropen?,Wieso hast du mich letzte Nacht nicht angerufen?,
"’Keene swiggt, stimmt to.","Wer schweigt, stimmt zu.",
Se slöög em in ’t Gesicht.,Sie ohrfeigte ihn.,
Se slöög em in ’t Gesicht.,Sie schlug ihm ins Gesicht.,
Se harr jemehr egen Kultur.,Sie hatten ihre eigene Kultur.,
Datt blieft ünner uns.,Das bleibt unter uns.,
Du dröffst ich rinkamen.,Du darfst nicht reinkommen.,
Büs du al maol in düssen Kroog wäsen?,Warst du schon mal in dieser Wirtschaft?,
Ahn Maschien kunnen wi nech mihr läven.,Ohne Maschinen können wir nicht mehr leben.,
Segg sowat nicht noch wedder.,Sag sowas nicht noch einmal.,
Snack ich leed von annere.,Rede nicht schlecht von anderen.,
"„Wo finnst du datt, datt sick Tom stickum mit Anna drippt?“ – „Dulle finn ik datt nech, man datt is mi ook nicht wichtig noog, üm mi dor övers uptorägen.“","„Wie findest du es, dass sich Tom heimlich mit Anna trifft?“ – „Toll finde ich es nicht, aber es ist mir auch nicht wichtig genug, um mich darüber aufzuregen.“",
De Gardien füng Füer.,Die Gardine fing Feuer.,
Weest miene Gäst!,Seid meine Gäste!,
In twe Weken fohrt wi Skilopen in ’e Bargen.,In zwei Wochen fahren wir zum Skilaufen in die Berge.,
De Mandant het mit siene Avkaat utsnackt.,Der Mandant sprach mit seinem Anwalt.,
Dröff ik en Bild von di moken?,Darf ich ein Bild von dir machen?,
De Brügg warrn opstunns nee anstreken.,Die Brücke wird gerade neu gestrichen.,
Wi singen tohoop de Esperanto-Hymne.,Wir sangen zusammen die Esperanto-Hymne.,
Ik kan mi noch swack op datt Begeevnis besinnst.,Ich erinnere mich schwach an das Ereignis.,
Ik verwachten nix von di.,Ich erwarte nichts von dir.,
He hätt sick an siene Been links opereren loten.,Er hat sich an seinem linken Bein operieren lassen.,
En Mann keem neger.,Ein Mann kam näher.,
Ahn di bün ik nix.,Ohne dich bin ich nichts.,
"Se het jümmerto wedder seggt, datt se unschüllig is.","Sie hat immer wieder gesagt, dass sie unschuldig ist.",
He deed datt Glas mit Wien füllen.,Er füllte das Glas mit Wein.,
Wat wullt du doot?,Was willst du tun?,
Hess du goods toslapen?,Hast du gut geschlafen?,
He is miene Nover.,Er ist mein Nachbar.,
China is datt gröttst Land in Asien.,China ist das größte Land in Asien.,
Datt dalladen vun de Data is afslaten.,Das Runterladen der Datei ist abgeschlossen.,
Du musst diene Opgaven doot.,Du musst deine Aufgaben erledigen.,
He is bi ’t Skiföhren henfullen un hätt sick den Arm braken.,Er ist beim Skifahren hingefallen und hat sich den Arm gebrochen.,
Gest du em dropen?,Hast du ihn getroffen?,
Datt warrn elk Dag hitter un hitter.,Es wird von Tag zu Tag heißer.,
Datt is en Toorn.,Das ist ein Turm.,
De Katte lickt sick den Noors.,Die Katze leckt sich den Hintern.,
Wi harr dichten Daak in London.,Wir hatten dichten Nebel in London.,
Lat uns huer langs gohn.,Lasst uns diesen Weg gehen.,
Datt warrn düüster buten.,Es wird draußen dunkel.,
Wat maakst du nu?,Was tust du gerade?,
He wees in Frankriek.,Er war in Frankreich.,
Ehr Hoor is lange.,Ihre Haare sind lang.,
De Supp is to solt.,Die Suppe ist zu salzig.,
He het de Deek blau anstreken.,Er strich die Decke blau.,
De Boor is tæmlich tamm un bitt ich.,Der Bär ist ziemlich zahm und beißt nicht.,
Snackst du Sweedsch?,Sprichst du Schwedisch?,
He hätt siene Arbeit verlorene.,Er hat seine Arbeit verloren.,
An diene Steed deed ik datt anners moken.,"Wenn ich du wäre, würde ich das so nicht machen.",
Ik bün allergisch gägen Fischen.,Ich bin allergisch gegen Fisch.,
Ik lees keene Böker.,Ich lese keine Bücher.,
"Datt wees swor, datt Radels to lösen.","Es war schwer, das Rätsel zu lösen.",
Ik heff em övers de Straat gohn sehen.,"Ich sah, wie er die Straße überquerte.",
Ik heff de Katz in ’t Gnick packt.,Ich packte die Katze am Nacken.,
Ik bün nu teemlich mööd.,Ich bin jetzt sehr müde.,
Du schußt nech toveel Bontjes äten.,Du solltest nicht zu viele Bonbons essen.,
Hess du opstunns to doot?,Bist du im Moment beschäftigt?,
He driggt sien Böker ünner ’n Arm.,Er trägt seine Bücher unter dem Arm.,
Hebbt ji en Antwoort kriegen?,Habt ihr eine Antwort bekommen?,
De Rosen in ’n Goorn rüükt goods.,Die Rosen im Garten riechen gut.,
"Ik harrn vüör, Dokter to warrt.","Ich hatte vor, Arzt zu werden.",
Se het em bäten.,Sie hat ihn gebissen.,
He is groot un dicke un hätt jümmerto to doot.,Er ist groß und dick und immer beschäftigt.,
Ik heff em in ’t Huus gohn sehen.,Ich sah ihn ins Haus gehen.,
De Kuur het di goods daan.,Die Kur hat dir gut getan.,
Blievst du vonavend tohuus?,Bleibst du heute Abend zuhause?,
Gest du keene Dörst?,Hast du keinen Durst?,
"Du hess Glück hatt, datt he di nicht bäten hätt.","Du hast Glück gehabt, dass er dich nicht gebissen hat.",
De Dichters het en bäten mihr as twintig Johr huer levt.,Der Dichter lebte etwas mehr als zwanzig Jahre hier.,
"Goods, nimm datt.","Gut, nimm es.",
"’Keene is de Jund, de de Rull von Peter Pan speelt?","Wer ist der Junge, der die Rolle des Peter Pan spielt?",
Se hätt stünnenlang op em tövt.,Sie hat stundenlang auf ihn gewartet.,
Wat datt wat warrn? Datt warrn wat!,Ob das etwas wird? Das wird was!,
Wat datt wat warrn? Datt warrn wat!,Kann es gelingen? Es wird gelingen!,
Ehr Geschicht het sick as wohr rutstellt.,Ihre Geschichte hat sich als wahr herausgestellt.,
He hätt so siene Nücken.,Er hat so seine Eigenarten.,
He het so siene Nücken.,Er hat so seine Grillen.,
Man woneem sünd wi?,Aber wo sind wir?,
Ik bün för drie Doog huer.,Ich bin für drei Tage hier.,
Se hätt miene Anbott aflehnt.,Sie lehnte mein Angebot ab.,
Dröff ik dit Book lehnen?,Darf ich dieses Buch ausleihen?,
