nds,de
Smöökt ji?,Raucht ihr?
Se is binah sösstig.,Sie ist beinahe sechzig.
Ik bün kaputt.,Ich bin kaputt.
Dat Book höört mi to.,Das Buch gehört mir.
Dat Book höört mi to.,Dieses Buch gehört mir.
"Ick wüss nich, dat he dor weer.","Ich wusste nicht, dass er da war."
"Ick wüss nich, dat he dor weer.","Ich wusste nicht, dass er hier war."
Stööv dat Reck af.,Staube das Reck ab.
"Hest du dor wat gegen, wenn ik dat finster apendo?","Hättest du etwas dagegen, wenn ich das Fenster öffne?"
"Sodraad he mi sehn deed, lööp he weg.","Sobald er mich gesehen hatte, lief er weg."
He seet achter Tralljen.,Er saß hinter Gittern.
Meg ehr Hoor sünd von Natuur krüllt.,Megs Haare haben natürliche Locken.
De See is störmsch.,Die See ist stürmisch.
"Ik kann mi noch op en Geschicht besinnen, de miene Oma mi vertellt hett.","Ich erinnere mich an eine Geschichte, die meine Oma mir erzählt hat."
Kann ik mit mien Kreditkoort betahlen?,Kann ich mit meiner Kreditkarte bezahlen?
Häng dien Mantel an ’n Haken.,Häng deinen Mantel an den Haken.
"Dat is nich so slimm, as du denkst.","Es ist nicht so schlimm, wie du denkst."
Köönt ji mi bi de Bibliotheek afsetten?,Könnt ihr mich an der Bibliothek absetzen?
"Segg uns, wat wi nu doon schöölt.","Sag uns, was wir als Nächstes tun sollen."
Ik kann mien Navers nich utstahn.,Ich kann meine Nachbarn nicht ausstehen.
"Wasch diene Fööt, dat du den Dreck afkriggst.","Wasch deine Füße, damit du den Dreck herunter bekommst."
Wi hebbt noog Water.,Wir haben genug Wasser.
Dat Leven is as en Reis.,Das Leben gleicht einer Reise.
He keem ook nich.,Er kam auch nicht.
Sünd Supp un Salaat in dissen Pries mit in?,Sind Suppe und Salat in diesem Preis enthalten?
Worüm sünd in mien Salaatbedd soveel Sniggen?,Warum sind in meinem Salatbeet so viele Schnecken?
’Keen hett mi mien Korv mit Fleesch stahlen?,Wer hat mir meinen Korb mit Fleisch gestohlen?
Wi hebbt an ’n Strand speelt.,Wir haben am Strand gespielt.
Villicht harr ik dat beter nich doon schullt.,Vielleicht hätte ich das besser nicht tun sollen.
Wi hebbt ehrder as ans Middag eten un sünd halvig een loosgahn.,Wir haben früher als sonst zu Mittag gegessen und sind um 12:30 Uhr losgegangen.
"Ik verstah nich, wo ji von snackt.","Ich verstehe nicht, worüber ihr redet."
Dat Klima hier is as in Frankriek.,Das Klima hier ist wie in Frankreich.
Ik heff en Hartanfall hatt.,Ich habe einen Herzanfall gehabt.
Dat schall nu en lütt beten weh doon.,Das wird jetzt ein klein wenig weh tun.
Ik bün ’n Udel.,Ich bin von Beruf Polizist.
Ik speel up wat anners an.,Ich spiele auf etwas anderes an.
Ik mag dissen Hund.,Ich mag diesen Hund.
Ik schall di dat Autoföhren lehren.,Ich werde dir das Autofahren beibringen.
Du dröffst nich rechts föhren.,Du darfst nicht rechts fahren.
De Brügg is ut Steen.,Die Brücke dort ist aus Stein.
Wullt du wat to eten?,Möchtest du etwas zu essen?
Wat wullt du to eten?,Was möchtest du zu essen?
’Keen arbeidst du för?,Für wen arbeitest du?
Börgermeester Beccaria is dood.,Bürgermeister Beccaria ist tot.
He is Busfohrer.,Er ist Busfahrer.
Man sien Frünn nöömt em Ken.,Aber seine Freunde nennen ihn Ken.
"Kiek na, ’keen dat is.","Schau nach, wer es ist."
Du rückst ut ’n Mund.,Du hast Mundgeruch.
Dat lett as wenn he toslapen is.,Er scheint eingeschlafen zu sein.
En Moskito hett mi jüst staken.,Ein Moskito hat mich gerade gestochen.
Miene Mudder hett dat Huus vör teihn Minuten verlaten.,Meine Mutter hat das Haus vor zehn Minuten verlassen.
De Toilett weer achter de Trepp.,Die Toilette befindet sich hinter der Treppe.
Dat Baby weent de ganze Nacht.,Das Baby weinte die ganze Nacht.
"Gebildt' Lüd drapen sick, säd de Voss, dunn güng hei mit de Gaus spazieren.","Gebildete Leute treffen sich, sagte der Fuchs, dann ging er mit der Gans spazieren."
Wi segen em narms.,Wir sahen ihn nirgends.
Se is ook Verköpersch.,Sie ist auch Verkäuferin.
Dat köönt wi nich doon.,Das können wir nicht tun.
Se köff en niggen polter.,Sie kaufte ein neues Hemd.
Dat Hauhn is in de Köök.,Das Huhn ist in der Küche.
Ik heff en beten Fever.,Ich habe ein wenig Fieber.
Wat is dien Verscheel över mien Book?,Was ist deine Meinung über mein Buch?
Dat Experiment harr Spood.,Das Experiment war erfolgreich.
A is fiev Maal länger as B.,A ist fünfmal länger als B.
En Riesschaal wiggt üm un bi 180 Gramm.,Eine Reisschale wiegt ca. 180 Gramm.
Se schullen Gummistevel hebben.,Sie sollten Gummistiefel haben.
Ik gah to Foot na School.,Ich gehe zu Fuß zur Schule.
He wull en to groten Boom mit sien Biel ümmaken.,Er wollte einen zu großen Baum mit seinem Beil fällen.
Ik heff en Katt un en Hund.,Ich habe eine Katze und einen Hund.
Dat Lock is groot noog.,Das Loch ist groß genug.
Vergangen Nacht heff ik en Book leest.,Letzte Nacht las ich ein Buch.
Bill di dor man nix op in!,Bilde dir nur nichts darauf ein!
Ick heff de Schieterigge.,Ich habe Durchfall.
Se hett veel Frünn in Hongkong.,Sie hat viele Freunde in Hongkong.
Sien Leven is in Gefohr.,Sein Leben ist in Gefahr.
Wullt du Geld?,Möchtest du Geld?
Dat is nich mien Schuld!,Das ist nicht meine Schuld.
Dat is nich mien Schuld.,Das ist nicht meine Schuld.
Japaansch is mien Moderspraak.,Japanisch ist meine Muttersprache.
He is de gröttste von de dree.,Er ist der größte von den dreien.
Ik söök na dien Süster. Woneem is de?,Ich suche nach deiner Schwester. Wo ist sie?
He bevert as Eschenloov.,Er zittert wie Espenlaub.
Worüm hest du mi hüüd nacht nich anropen?,Wieso hast du mich letzte Nacht nicht angerufen?
"’Keen swiggt, stimmt to.","Wer schweigt, stimmt zu."
Se slöög em in ’t Gesicht.,Sie ohrfeigte ihn.
Se slöög em in ’t Gesicht.,Sie schlug ihm ins Gesicht.
Se harrn jemehr egen Kultuur.,Sie hatten ihre eigene Kultur.
Dat blifft ünner uns.,Das bleibt unter uns.
Du dröffst nich rinkamen.,Du darfst nicht reinkommen.
Büst du al maal in dissen Kroog wesen?,Warst du schon mal in dieser Wirtschaft?
Ahn Maschienen kunnen wi nich mehr leven.,Ohne Maschinen können wir nicht mehr leben.
Segg sowat nich noch wedder.,Sag sowas nicht noch einmal.
Snack nich leeg von annere.,Rede nicht schlecht von anderen.
"„Wo finnst du dat, dat sik Tom stickum mit Anna dröppt?“ – „Dull finn ik dat nich, man dat is mi ook nich wichtig noog, üm mi dor över uptorägen.“","„Wie findest du es, dass sich Tom heimlich mit Anna trifft?“ – „Toll finde ich es nicht, aber es ist mir auch nicht wichtig genug, um mich darüber aufzuregen.“"
De Gardien füng Füür.,Die Gardine fing Feuer.
Weest mien Gäst!,Seid meine Gäste!
In twee Weken föhrt wi Skilopen in ’e Bargen.,In zwei Wochen fahren wir zum Skilaufen in die Berge.
De Mandant hett mit sien Avkaat snackt.,Der Mandant sprach mit seinem Anwalt.
Dröff ik en Bild von di maken?,Darf ich ein Bild von dir machen?
De Brügg warrt opstunns nee streken.,Die Brücke wird gerade neu gestrichen.
Wi süngen tohoop de Esperanto-Hymne.,Wir sangen zusammen die Esperanto-Hymne.
Ik kann mi noch swack op dat Begeevnis besinnen.,Ich erinnere mich schwach an das Ereignis.
Ik verwacht nix von di.,Ich erwarte nichts von dir.
He hett sik an sien Been links opereren laten.,Er hat sich an seinem linken Bein operieren lassen.
En Mann keem neger.,Ein Mann kam näher.
Ahn di bün ik nix.,Ohne dich bin ich nichts.
"Se hett jümmer wedder seggt, dat se unschüllig is.","Sie hat immer wieder gesagt, dass sie unschuldig ist."
He deed dat Glas mit Wien füllen.,Er füllte das Glas mit Wein.
Wat wullt du doon?,Was willst du tun?
Hest du good slapen?,Hast du gut geschlafen?
He is mien Naver.,Er ist mein Nachbar.
China is dat gröttste Land in Asien.,China ist das größte Land in Asien.
Dat dalladen vun de Data is afsluten.,Das Runterladen der Datei ist abgeschlossen.
Du musst dien Opgaven doon.,Du musst deine Aufgaben erledigen.
He is bi ’t Skiföhren henfullen un hett sik den Arm braken.,Er ist beim Skifahren hingefallen und hat sich den Arm gebrochen.
Hest du em drapen?,Hast du ihn getroffen?
Dat warrt elk Dag hitter un hitter.,Es wird von Tag zu Tag heißer.
Dat is en Toorn.,Das ist ein Turm.
De Katt lickt sik den Oors.,Die Katze leckt sich den Hintern.
Wi harrn dichten Daak in London.,Wir hatten dichten Nebel in London.
Laat uns hier langs gahn.,Lasst uns diesen Weg gehen.
Dat warrt düüster buten.,Es wird draußen dunkel.
Wat maakst du nu?,Was tust du gerade?
He weer in Frankriek.,Er war in Frankreich.
Ehr Hoor is lang.,Ihre Haare sind lang.
De Supp is to solt.,Die Suppe ist zu salzig.
He hett de Deek blau streken.,Er strich die Decke blau.
De Boor is temlich tamm un bitt nich.,Der Bär ist ziemlich zahm und beißt nicht.
Snackst du Sweedsch?,Sprichst du Schwedisch?
He hett sien Arbeid verloren.,Er hat seine Arbeit verloren.
An dien Steed deed ik dat anners maken.,"Wenn ich du wäre, würde ich das so nicht machen."
Ik bün allergisch gegen Fisch.,Ich bin allergisch gegen Fisch.
Ik lees keen Böker.,Ich lese keine Bücher.
"Dat weer swoor, dat Radels to lösen.","Es war schwer, das Rätsel zu lösen."
Ik heff em över de Straat gahn sehn.,"Ich sah, wie er die Straße überquerte."
Ik heff de Katt in ’t Gnick packt.,Ich packte die Katze am Nacken.
Ik bün nu temlich mööd.,Ich bin jetzt sehr müde.
Du schusst nich toveel Bontjes eten.,Du solltest nicht zu viele Bonbons essen.
Hest du opstunns to doon?,Bist du im Moment beschäftigt?
He driggt siene Böker ünner ’n Arm.,Er trägt seine Bücher unter dem Arm.
Hebbt ji en Antwoord kregen?,Habt ihr eine Antwort bekommen?
De Rosen in ’n Goorn rüükt good.,Die Rosen im Garten riechen gut.
"Ik harr vör, Dokter to warrn.","Ich hatte vor, Arzt zu werden."
Se hett em beten.,Sie hat ihn gebissen.
He is groot un dick un hett jümmer to doon.,Er ist groß und dick und immer beschäftigt.
Ik heff em in ’t Huus gahn sehn.,Ich sah ihn ins Haus gehen.
De Kuur hett di good daan.,Die Kur hat dir gut getan.
Bliffst du vonavend tohuus?,Bleibst du heute Abend zuhause?
Hest du keen Döst?,Hast du keinen Durst?
"Du hest Glück hatt, dat he di nich beten hett.","Du hast Glück gehabt, dass er dich nicht gebissen hat."
De Dichter hett en beten mehr as twintig Joht hier leevt.,Der Dichter lebte etwas mehr als zwanzig Jahre hier.
"Good, nimm dat.","Gut, nimm es."
"’Keen is de Jung, de de Rull von Peter Pan speelt?","Wer ist der Junge, der die Rolle des Peter Pan spielt?"
Se hett stünnenlang op em töövt.,Sie hat stundenlang auf ihn gewartet.
Wat dat wat warrt? Dat warrt wat!,Ob das etwas wird? Das wird was!
Wat dat wat warrt? Dat warrt wat!,Kann es gelingen? Es wird gelingen!
Ehr Geschicht hett sik as wohr rutstellt.,Ihre Geschichte hat sich als wahr herausgestellt.
He hett so sien Nücken.,Er hat so seine Eigenarten.
He hett so sien Nücken.,Er hat so seine Grillen.
Man woneem sünd wi?,Aber wo sind wir?
Ik bün för dree Doog hier.,Ich bin für drei Tage hier.
Se hett mien Anbott aflehnt.,Sie lehnte mein Angebot ab.
Dröff ik dit Book utlehnen?,Darf ich dieses Buch ausleihen?
Ik deed geern in Frankriek wahnen.,Ich würde gerne in Frankreich wohnen.
Dat is kaputt.,Das ist kaputt.
Ik kaam ut Brasilien.,Ich komme aus Brasilien.
Dat is nich mien Beer!,Das ist nicht mein Bier!
In ’n Harvst fallt de Bläder.,Im Herbst fallen die Blätter.
In ’n Harvst fallt de Bläder.,Im Herbst fällt das Laub.
Disse Schilleree is veel Geld weerd.,Dieses Gemälde ist viel Geld wert.
De Maand geiht toenn.,Der Monat geht dem Ende zu.
Soldaten sünd Gefohr wennt.,Soldaten sind Gefahr gewohnt.
Hol dinen Sabbel un luster to.,Halt den Mund und hör zu.
Hol dinen Sabbel un luster to.,Halt den Mund und hör zu!
En Dwargknienken schull nienich alleen leven.,Ein Zwergkaninchen sollte niemals allein leben.
"Wo mehr du arbeidst, wo mehr verdeenst du.","Desto mehr du arbeitest, desto mehr verdienst du."
Se hööl de Luft an.,Sie hielt den Atem an.
He güng na ’t Butenland.,Er ging ins Ausland.
Wo laat is dat?,Wie spät ist es?
Wo bedankt man sik up Japaansch?,Wie bedankt man sich auf Japanisch?
He jökelt jümmer rüm.,Er macht ständig Witze.
He jökelt jümmer rüm.,Er scherzt immer herum.
In ’n Krieg hebbt se veel Klocken insmulten.,Im Krieg haben sie viele Glocken eingeschmolzen.
Tom rokt.,Tom raucht.
"Ik wull, ik harr en Koort för dat Kunzert köfft.","Ich wünschte, ich hätte eine Karte für das Konzert gekauft."
"Hett mi een anropen, as ik buten weer?","Hat mich jemand angerufen, während ich draußen war?"
Hest du Schoh un Söcken?,Hast du Schuhe und Socken?
Ik bün Muslim.,Ich bin Muslim.
Ik bün Muslim.,Ich bin ein Moslem.
Ik bün Muslim.,Ich bin Moslem.
Beter wat as gornix.,"Besser etwas, als gar nichts."
Se deed em en Pullover knütten.,Sie strickte ihm einen Pullover.
Ik weer kaputt.,Ich war erschöpft.
Ji mööt nich glieks gahn.,Ihr müsst nicht sofort gehen.
"Briänniëdelmiddag: Schmikket guëd, aober wenn et gieden häs, mosse di henleggen, süs mosse briäken.","Brennnesseleintopf: Schmeckt gut, aber wenn du ihn gegessen hast, musst du dich hinlegen, sonst musst du brechen."
"Ik heff em drapen, as he in Japan weer.","Ich habe ihn getroffen, als er in Japan war."
Mien Huus is dien Huus.,Mein Haus ist dein Haus.
Worüm büst du to laat kamen?,Warum bist du zu spät gekommen?
Jüst dat wull ik.,Genau das wollte ich.
Ik heff ehr tofällig op ’n Bahnhoff drapen.,Ich habe sie zufällig auf dem Bahnhof getroffen.
Ik besitt man teihn Böker.,Ich besitze nur zehn Bücher.
He deed sik gau an ’t kole Weder wennen.,Er gewöhnte sich schnell an kaltes Wetter.
Ik weet nix von ehr.,Ich weiß nichts von ihr.
Ik weet nix von ehr.,Ich weiß nichts über sie.
He verlett sik jümmer op annere.,Er verlässt sich stets auf andere.
Se möök dat Radio lieser.,Sie stellte das Radio leiser.
Nancy schall woll nienich mit mi utgahn. Ik speel nich in ehr Liga.,Nancy wird niemals mit mir ausgehen. Ich spiele nicht in ihrer Liga.
He weer bet op de Knaken dörnaat von ’n Regen.,Er war bis auf die Knochen durchnässt vom Regen.
Wat hest du vonavend vör?,Was hast du heute Abend vor?
De Postbaad maakt den Breevkassen leddig.,Der Postbote leert den Postkasten.
Nu is ’t hen.,Jetzt isses im Eimer.
Japaners sünd Asiaten.,Japaner sind Asiaten.
Ik bün utgahn.,Ich ging aus.
Ik bün utgahn.,Ich bin ausgegangen.
Fraag nich.,Frag nicht.
"Ik wull würklich geern weten, worüm as he sowat daan hett.","Ich möchte wirklich gerne wissen, weshalb er so etwas gemacht hat."
Roop foorts 110.,Ruf sofort die 110.
De eerste Deel von dit Book speelt in Florenz.,Der erste Teil dieses Buches ist in Florenz angesiedelt.
Kiek man sturr op mien Finger.,Bitte betrachte starr meinen Finger.
Ik kann mi good op em besinnen.,Ich kann mich gut an ihn erinnern.
"Wenn use Katten 'ne Kau wör, dann mösten we up 'n Balken taun melken!","Wenn unsere Katze eine Kuh wäre, müssten wir zum Melken hoch auf den Balken."
"Ik begriep, wat du seggst.","Ich begreife, was du sagst."
Dat Schipp hett keen Radar.,Dieses Schiff ist nicht mit Radar ausgestattet.
Magst du lever Wittwien oder Roodwien?,Magst du lieber Weißwein oder Rotwein?
Denk dor nich maal an!,Denke darüber nicht einmal nach!
De Kinner hebbt sik na de School en Pizza deelt.,Die Kinder teilten sich nach der Schule eine Pizza.
Ik bruuk en Hamer.,Ich brauche einen Hammer.
Mien Reekner föhrt nich mehr hooch.,Mein Rechner fährt nicht mehr hoch.
Kien Minske kann twehunnert Jaor liäwen.,Kein Mensch wird zweihundert Jahre alt.
Beweeg dien Achterdeel un gah dor op dal!,Lüfte deinen Hintern und geh los!
Beweeg dien Achterdeel un gah dor op dal!,Krieg deinen Arsch hoch und mach voran!
Se deed blangen em sitten un harr de Ogen slaten.,Sie saß neben ihm mit geschlossenen Augen.
De Mudder deed dat Kind küssen.,Die Mutter küsste das Kind.
In 2001 hebbt Terroristen dat World Trade Center vun New York angrepen.,2001 haben Terroristen das World Trade Center in New York angegriffen.
"Wenn et löpt, dann löpt et.","Wenn es läuft, dann läuft es."
En halv Brood is beter as gornix.,Ein halber Laib Brot ist besser als gar nichts.
Föhrst du mit ’n Bus na School?,Fährst du mit dem Bus zur Schule?
Hier is en Book.,Hier ist ein Buch.
Kannst du dat Radels lösen?,Kannst du das Rätsel lösen?
He kann sik al nich mehr op de Been hollen.,Er kann sich schon nicht mehr auf den Beinen halten.
Wi mööt noch dat Hau kehren un Holt hacken.,Wir müssen noch das Heu wenden und Holz hacken.
"Denkst du, dat Fisch hören köönt?","Meinst du, dass Fische hören können?"
Ik bün ut Sambia.,Ich bin aus Sambia.
"Snacken köönt wi all, doon is en Ding.","Handle, rede nicht."
De Laden is op de anner Stratensied.,Der Laden ist auf der anderen Straßenseite.
Un worüm dat?,Und warum das?
Ik heff miene Autoslötels verloren.,Ich habe meine Autoschlüssel verloren.
Dien Portmoneet liggt op ’n Kiekschapp.,Dein Portemonnaie liegt auf dem Fernseher.
He deed ehr von Kopp bet Foot munstern.,Er musterte sie von Kopf bis Fuß.
"Em is dat egaal, wat he itt.","Ihm ist es egal, was er isst."
Disse Soort Kledaasch is jüst Mood.,Diese Art von Kleidung ist gerade in Mode.
Wat is mit em?,Was ist mit ihm?
Woneem doot se dat?,Wo machen sie das?
To ’n Glück is nüms natt worrn.,Glücklicherweise wurde niemand nass.
Süst du den Ingang von ’n Park?,Siehst du den Eingang von dem Park?
Uns Feernseher geiht al wedder nich.,Unser Fernseher ist schon wieder defekt.
Du hest in ’t Swarte drapen.,Du hast ins Schwarze getroffen.
Tom keek in den Nachthimmel.,Tom sah in den Nachthimmel.
Se hett temlich kort Hoor.,Sie hat sehr kurzes Haar.
"Wo denkst du an, wenn du dit Bild ankickst?","Woran denkst du, wenn du dieses Bild betrachtest?"
Du musst nich glieks gahn.,Du musst nicht sofort gehen.
Dor sitt en Bayer mit en Ledderbüx.,Dort sitzt ein Bayer in einer Lederhose.
Tom hett nich soveel Frünn as Ria.,Tom hat nicht so viele Freunde wie Maria.
Dit is en DVD.,Das ist eine DVD.
Vörig Nacht hebbt wi von op ’t Dack de Steerns bekeken.,Letzte Nacht haben wir die Sterne vom Dach aus angesehen.
"Ik heff vergäten, ehr wat to vertellen.","Ich habe vergessen, ihr etwas zu sagen."
Bet na ’n Bahnhoff is dat en good Enn.,Bis zum Bahnhof ist es ein ganzes Stück.
Ik heff dree Hunnen.,Ich habe drei Hunde.
"Ik heff höört, dat du wunnen hest. Glückwunsch!","Ich habe gehört, dass du gewonnen hast. Glückwunsch!"
Ik holl Verspreken jümmer.,Versprechen halte ich immer.
Ik bün jünger as he.,Ich bin jünger als er.
Se is noch nich hier.,Sie ist noch nicht hier.
Dat weer Nacht.,Es war Nacht.
"Ik bün in Osaka boren, man in Tokyo opwussen.","Ich wurde in Osaka geboren, bin aber in Tokyo aufgewachsen."
Disse Tee is to bitter.,Dieser Tee ist zu bitter.
"Wies mi, woneem dat weh deit.","Zeig mir, wo es weh tut."
He harr en Unfall.,Er hatte einen Unfall.
Ik harr Glück.,Ich hatte Glück.
He is mien Fründ. Kennt ji em?,Das ist mein Freund. Kennt ihr ihn schon?
He is mien Fründ. Kennt ji em?,Er ist mein Freund. Kennt ihr ihn?
Dat steiht in sien Book.,Das steht in seinem Buch.
De Butenminister von Libyen is överlopen.,Libyens Außenminister ist übergelaufen.
An ’n Dingsdag drippt sik dat Parlament.,Am Dienstag tagt das Parlament.
"Segg mi, wat du denkst.","Sag mir, was du denkst."
Woans warrt joon Achternaam utspraken?,Wie spricht man euren Nachnamen aus?
Jim deed sik mellen.,Jim zeigte auf.
Ik bün nich dumm.,Ich bin nicht dumm.
He deed sik blangen ehr setten.,Er setzte sich neben sie.
Ik heff de Autobahn 58 nahmen.,Ich habe die Autobahn 58 genommen.
Hebrääsch is en swoore Spraak.,Hebräisch ist eine schwere Sprache.
"Elk Dag bruukt wi veel Saken, de Edison utfunnen hett.","Jeden Tag benutzen wir viele Dinge, die Edison erfunden hat."
Du kannst nich wiedergahn.,Du kannst nicht weitergehen.
Bi ’t Skiföhren heff ik mi mien Been braken.,Beim Skifahren habe ich mir mein Bein gebrochen.
Ik heff en Hund.,Ich habe einen Hund.
Ik mag lever Selter.,Ich mag lieber Sprudel.
Ik mag lever Selter.,Ich mag lieber Mineralwasser.
Ik mag lever Selter.,Ich mag lieber Selters.
"Se hebbt en Graffsteen över dat Graff opstellt, de över den Haven kickt.","Sie haben einen Grabstein über dem Grab errichtet, der über den Hafen blickt."
Wullt du mit mi danzen?,Willst du mit mir tanzen?
"Dat is dat Book, dat du söchst.","Das ist das Buch, das du suchst."
He seet op de Bank in ’n Park.,Er saß auf der Bank in einem Park.
Maak dat Finster dicht!,Mach das Fenster zu!
Dat is meist vörbi.,Es ist fast vorbei.
Wi brukt em nich.,Wir brauchen ihn nicht.
Ik heff dree Daag nix mehr eten.,Ich habe drei Tage nichts mehr gegessen.
Du schusst di bi em bedanken.,Du solltest dich bei ihm bedanken.
Tom deed sien Mantel un sien Hanschen uttehn.,Tom zog seinen Mantel und seine Handschuhe aus.
Vonavend will ik na en Kunzert gahn.,Heute Abend will ich in ein Konzert gehen.
De Mann springt över ’n Beek röver.,Der Mann springt über den Bach hinweg.
"Ik weet nich mäer, wat ik doon schall.","Ich weiß nicht mehr, was ich tun soll."
"Se kunn föhlen, wo ehr Kneen beven deden.","Sie konnte fühlen, wie ihre Knie zittern."
’Keen wullst du dat verköpen?,Wo willst du das verkaufen?
Du büst alltied to laat.,Du bist immer zu spät.
"Ik weet, dat dat swoorfallt.","Ich weiß, dass das schwerfällt."
Mien Huus liekt dien.,Mein Haus ähnelt deinem.
"Mi dücht, dat is to groot!","Ich denke, es ist zu groß!"
Ik mag ’n Winter.,Ich mag Winter.
Good daan is beter as good seggt.,Gut getan ist besser als gut gesagt.
He drünk Beer.,Er trank Bier.
Worüm maakst du keen Diäät?,Warum machst du keine Diät?
He hett twee Böker schreven.,Er hat zwei Bücher geschrieben.
Ik heff nüms to’n Snacken.,Ich habe niemanden zum Reden.
Ik roop foorts en Dokter.,Ich werde sofort einen Arzt rufen.
Dit is mien Schrievdisch.,Dies ist mein Schreibtisch.
Se schall mi vonnamiddag besöken kamen.,Sie wird mich heute Nachmittag besuchen kommen.
Markus hett mien Book.,Markus hat mein Buch.
"Deit mi leed, ik heff di lang töven laten.","Entschuldige, ich habe dich lange warten lassen."
Speel mi en beten Chopin.,Spiel mir ein bisschen Chopin vor.
Vonmorgen hett dat musselt.,Heute früh hat es genieselt.
De Wind hett önnig weiht an den Dag.,Der Wind war stark an dem Tag.
Mien Franzöösch is gresig.,Mein Französisch ist lausig.
Woneem leevst du nu?,Wo lebst du nun?
Uns Hund kuhlt sien Knaken in ’n Goorn in.,Unser Hund vergräbt seine Knochen im Garten.
Hest du faken Neesblöden?,Hast du oft Nasenbluten?
"Ik kunn de Klöör von sien Hemd nich kennen, dat weer dor buten to düüster.","Ich konnte die Farbe seines Hemds nicht erkennen, denn es war zu dunkel draußen."
He sett den Buur op ’n Eddelmann.,Er setzt den Bauern auf den Edelmann.
Ik heff disse Nacht good slapen.,Ich habe diese Nacht gut geschlafen.
Ik bün bang vör Rulltreppen.,Ich habe Angst vor Rolltreppen.
"Regeln sünd dor, üm braken to warrn.","Regeln sind da, um gebrochen zu werden."
Tom hett al den ganzen Dag noch nix äten.,Tom hat den ganzen Tag noch nichts gegessen.
He is Armeeoffzeer.,Er ist Armeeoffizier.
Ik wull Philosoph warrn.,Ich wollte Philosoph werden.
Worüm weent dat Baby?,Warum weint das Baby?
Dat Lehren von en Frömdspraak feddert Gedüür.,Das Erlernen einer Fremdsprache erfordert Geduld.
He drück mi gegen de Wand.,Er drückte mich gegen die Wand.
Tom und Ria hebbt vör twee Weken hieradt.,Tom und Maria haben sich vor zwei Wochen verheiratet.
Tom und Ria hebbt vör twee Weken hieradt.,Tom und Maria haben vor zwei Wochen geheiratet.
Dien Neeslock is veel grötter as mien.,Dein Nasenloch ist viel größer als meines.
Wullt du en beten Melk?,Möchtest du etwas Milch?
Wullt du en beten Melk?,Willst du ein bisschen Milch?
Dat weer en gresigen Unfall.,Das war ein schrecklicher Unfall.
Nüms hett dissen Satz wegdaan.,Niemand hat diesen Satz gelöscht.
Ik wull na China.,Ich wollte nach China.
Michael hett Dora dat geven.,Michael gab das Dora.
Se hett de hele Nacht roort.,Sie hatte die ganze Nacht geheult.
Sünd ji all Kanadiers?,Seid ihr alle Kanadier?
"De Schäper tellt sien Schaap: „Een, twee, dree, veer, fiev … eenhunnerd.“","Der Schäfer zählt seine Schafe: ""Eins, zwei, drei, vier, fünf ... einhundert."""
Dat is en Zitronenboom.,Das ist ein Zitronenbaum.
Mi kellt de Kusen.,Ich habe Zahnschmerzen.
En Peerd hett Tom bäten.,Ein Pferd hat Tom gebissen.
"Ik wull jo ja geern helpen, man ik heff jüst to doon.","Ich würde euch ja gern helfen, aber ich bin gerade beschäftigt."
Is Freedag en Disch för twee free?,Ist am Freitag ein Tisch für zwei frei?
Se deed uns mit en Smüüstern begröten.,Sie begrüßte uns mit einem Lächeln.
Is nich allens Gold wat blinkt.,"Es ist nicht alles Gold, was glänzt."
Dor weren veel Lüüd.,Da waren viele Leute.
De Kinner speelt mit dat Speeltüüg.,Die Kinder spielen mit dem Spielzeug.
Ik seh dien Huus.,Ich sehe dein Haus.
He hett mien Geldbüdel nich stahlen.,Er hat meinen Geldbeutel nicht gestohlen.
Woveel Ogen harr de Zykloop?,Wie viele Augen hatte der Zyklop?
"Ik kann Tom nich utstahn, man ik heff em ok giern.","Ich hasse Tom, aber ich liebe ihn auch."
He döggt för de Arbeid.,Er ist für die Arbeit geeignet.
Denn man tau!,Los dann!
Denn man tau!,Dann fangen wir mal an.
Worüm stinkt dat hier so?,Warum stinkt das hier so?
Dit Wöörbook hett twölv Bänn.,Dieses Wörterbuch hat 12 Bände.
Sett dien Mütz op.,Setz deine Mütze auf.
Use Dochter hett sik den Finger an en Rietsticken verbrennt.,Unsere Tochter hat sich den Finger an einem Streichholz verbrannt.
Ik gah na Arbeid.,Ich gehe arbeiten.
"Kunn ja ook angahn, dat he noch in ’n Stau steiht.","Es könnte ja auch sein, dass er noch im Stau steht."
Se lachen em ut.,Sie lachten sie aus.
Ik gah faken mit jem fischen.,Ich gehe oft mit ihnen fischen.
Worüm wullt du in ’t Butenland studeren?,Wieso willst du im Ausland studieren?
Wannehr geihst du loos?,Wann gehst du los?
Laat dat dicht.,Lass es geschlossen.
Laat dat dicht.,Lass das zu.
Dat is nich in Wöör uttodrücken.,Das kann man nicht in Worte fassen.
Dat verwacht de Briten von jemehr Königin.,Das erwarten die Briten von ihrer Königin.
Ik seh dat nich.,Ich sehe es nicht.
Ik bün nich good in Eerdkunn.,Ich bin schwach in Erdkunde.
Ik heff jüstso veel Geld as se.,Ich habe genauso viel Geld wie sie.
Elk Vörjohr geiht de Stroom hier över de Övers.,Jeden Frühling tritt der Fluss hier über die Ufer.
Ik holl Tom för gefährlich.,Ich halte Tom für gefährlich.
Dat is Water op sien Möhl.,Das ist Wasser auf seine Mühle.
